"ĐÃ SẮP XẾP THEO QUẬN, HUYỆN		",,Mn muốn recommend quán ở quận nào thì add thêm dòng ở quận đó nha,Filter ,,"MỌI NGƯỜI LỌC THEO QUẬN, HUYỆN TÌM CHO DỄ NHA!",,
Loại quán,Món - Quán,ĐỊA CHỈ - CN,Quận,Giá tiền,Review,FEEDBACK MN,ỤA MN CÓ CHỈNH ĐƯỢC SHEET KHÔNG DẠ? TUI ĐÃ BẬT PUBLIC EDIT RỒI Á
Cà phê,Sống Cafe 24h,"14C1, Khu định cư Tân Quy Đông, Quận 7",7,> 45k,"Ê một quán cà phê 24h hiếm hoi ở Q7 mà có bàn cao, ghế êm, quá ổn cho một buổi thâu đêm để chạy deadline. Mặc dù nước hơi hơi uci thui nhma +10đ vì bàn ghế và không gian yên tĩnh, t nguyện cắm cọc ở đây chạy deadline đến khi t tốt nghiệp ra trường. Àaa t highly rec món trà sữa hoa hồng í (t quên tên trên menu rùi, nó hoa mỹ quá), mấy mom không thích cánh hoa hồng thì có thể notes cho nhân viên để ít hoặc không để nha (nhma t thấy món đó + list trà sữa khác ngon nhất trong dàn menu)",,
Món Hàn,Mì tương đen Hoa Sinh Gak,"38-40 Khu Phố Hưng Phước 3, Tân Phong, Quận 7",7,> 90k/món,"Bestttttttttttttttttttttt mì tương đen trong lòng t luôn. Thề không đắng, rất ngon rất đáng thử, ngon hơn các quán hot tiktok luôn. Thử với thịt chiên xù đi, t đảm bảo",- Confirm là ngon nha. Cá nhân t thấy mì tương đen ngon hơn ở Truyền thuyết Champong.,
Món Hàn,Moon Tokbokki,"68 Cao Triều Phát, Tân Phong, Quận ",7,100 - 200k/người,"Bình thường t thấy mấy quán Hàn chỉ nổi bật một món thui, kiểu quán X ngon mì tương đen, quán Y ngon mì lạnh. Nhma cái quán nàyyyy, best tokbokki, tr ơi tok nó ngon kinh khủng. Còn các món khác cũng ngon nốt luôn, kiểu cả menu ngon đều í. Kimbap cũng ngon nè, chả cá cũng ngonn, mandu thì vỏ mỏng giòn tan (không như siêu thị), đáng thử lắmm. Mà giá cả phải chăng trong PMH nữa",,
Bánh,Kute Donuts,"74 Đ. Phạm Văn Nghị, Tân Phong, Quận 7",7,> 25k,"Mom nào thích ăn donut thì tấp vào đây liền cho ttt. Donut siêu ngon, ráo dầu, mềmmm. Mỗi mùa lễ còn có seasonal donut nữa. Quá đã",,
Nước,Trà & Sữa,"Đường số 10, Tân Quy, Quận 7 (Gần Circle K)",7,>20k,"Quán trà sữa ruột của tt, trà sữa rẻ tầm 25k nhma siêu đậm vị trà (t có thể cảm nhận được sự khác biệt rất rõ của hồng trà, lục trà, olong cùng các thể loại latte, trà sữa trong menu luôn í). Trân châu/topping các loại cũng ngon nốt. Ai muốn thức đêm thì cũm có thể qua đây uống thử. Nhma anh chủ bán siêu chill, mở trễ đóng sớm, hay tắt app, với hay nghỉ nữa 🥹",,
Nước,Tiệm Fulleaf,"65 Mai Văn Vĩnh, Tân Quy, Quận 7",7,>20k,"Hôm nào quán Trà và Sữa bên trên đóng cửa thì t sẽ té sang quán này uống, rẻ nhma cũng ngon nốt. T siêu thích trà sữa thái đỏ ở đây, kiểu nó rõ vị thái đỏ vãiii. Trà sữa lài gì đó cũng ngon luônnn",,
Món Việt,Gỏi cuốn,"79 Mai Văn Vĩnh, Tân Quy, Quận 7 (chị chủ không để gg maps nên mình notes đỡ địa chỉ gần quán nhất nhaa, lại đó sẽ thấy một quầy gói cuốn 7 cá/cuốn màu xanh)",7,7k/cuốn,"7k một cuốn nhma cuốn ú nụ, siêu chất lượng với đủ bún, rau (salad, rau thơm, giá) và tôm, thịt. Sốt chấm của chị làm cũng ngon nốt luôn í. Quan trọng là tui thấy nó cũng sạch sẽ luônn",,
Ăn vặt,Bánh kem Thỏ Tây,"51/54 Mai Văn Vĩnh, Tân Quy, Quận 7",7,> 10k,"Quán này siêu đông luôn, lúc nào chạy ngang cũng thơm nồng mùi bánh mì vừa ra lò. Ở quán có siêu nhiều siêu nhiều loại bánh, từ bánh ngọt đến bánh mặn, mà giá cả HS-SV, bánh mặn hầu hết đều từ 10 - 15k. T thấy bánh tart trứng ở đây ngonn, t hay ăn món này, bạn t cũng khen bánh Flan nữa. Bình thường t hay mua về bỏ tủ đông, sáng dậy nướng lại bằng NCKD, +1 bữa sáng nhanh - gọn - lẹ. Hổm t cũng có thử đặt bánh kem sinh nhật ở đây, thì bằng 1 cách nào đó, t thấy bánh ở đây siêu rẻ so với mặt bằng chung, mà nó ngon mới hay íii. Phụ kiện đi kèm free, được chọn nhiều cốt bánh, siêu ưnggg",,
Ăn vặt,Quán ăn vặt Trâm Vàng,"26 Đường Số 7, Tân Kiểng, Quận 7 (Cẩn thận nhầm với quán xiên bẩn 26A bên cạnh nghenn)",7,> 10k/món,"Menu của cô chú siêu nhiều mà chất lượng luôn í, t ăn món nào cũng thấy vị sạch sẽ như ở nhà làm (không điêu). Nhma khs cô chú không add quán trên gg maps nữa. T ăn món nào thấy cũng ngon, từ xiên bẩn đến chân gà sốt thái, rùi tok lắc phô mai, cơm chiên, mì xào,... Ncl ngon lắm, nước cũng ngon, cá nhân t thấy ngon x100 lần so với mấy quán ăn vặt đường đôi khu Q7 luôn í. Siêu đáng thử. 
Nhma lúc ghé quán thì mấy mom cẩn thận bị nhầm với quán ăn vặt (của anh chị trẻ tuổi) kế bên nhaa. Quán này nằm hơi khuất trong một căn nhà trệt kiểu xưa cũ, có một chú ấy menu với chạy bàn íii",,
Món Hoa,Há cảo xíu mại,"142 Đ. Lâm Văn Bền, Bình Thuận, Quận 7",7,"Đồng giá 3,2k/viên","Há cảo cô chú bán ngon, siêu rẻ, mình hay mua một phần thập cẩm nhỏ mà ăn no ứ hự luôn. Cũng đáng thử trong tầm giá íii",,
Món Việt,Bò Lá Lốp - Gỏi Cuốn 268,"31G Đ. Số 14, Tân Quy, Quận 7",7,>35k,"Quán hơi nhỏ, ít chỗ ngồi (chỉ có 2 3 chiếc bàn ghế nhựa thui), chủ yếu sẽ bán mang về. Nhma bù lại thịt bò lá lốt với thịt mỡ chài ăn rất ngon, thịt nướng lên mềm ẩm. Anh chủ vui tính, rau bánh tráng, nước chấm xin thoải mái không lấy xiền",,
Ăn vặt,"Ăn vặt (Bánh flan, panna cotta, chè,...)","36/11 Đường Số 11, Phường Tân Kiểng (nằm sau trường Lương Thế Vinh)",7,>20k/món,"Có đủ mấy món ăn vặt (bánh tránh, chè, chén cút nướng, bột chiện, trà sữa,..) nhưng ngon nhất là bánh flan và panna cotta. Siu béo, mềm mịn và có topping nữa. Rất đông khách",,
Ăn vặt,Bánh tráng trộn & chấm,"Đường số 14, Tân Phong, Quận 7 (nằm sau SC Vivo city)",7,> 15k,"CÓ TRÊN GRAB. Quán có bánh tráng chấm siêu ngon, tui bị dính cái sốt ở đây éee, bánh tráng trộn cũng ngon nốt. Nhma hình như CN cô sẽ nghỉ nhaaa",,
Nước,Hẻm matcha,"83/7 bông sao, phường 5 quận 8",8,>30k,"Ngon và rất rất thơm mùi matcha lun, nhưng nếu hok quen thì có thể bị say trà",,
Nước,Pino Matcha (Bán online trên ins),Pick up tại Chung cư Giai Việt,8,>30k,"Ngon, rẻ và siêu hợp khẩu vị, chủ quán dth",,
Món Việt,Bún cá nam vang Ba Quít,"801/79/10 Phạm Thế Hiển, P4, Q8 (Đối diện 893 Phạm Thế Hiển)",8,40k-120k,"Quán nằm trong hẻm, có thể hỏi mn xung quanh quán ba quít. Quán này của ba mình á bán sáng thui à, tô bình thường thì 40 còn thêm đầu cá thì tuỳ size, ba mình bán hơn 30 năm rùi nên bạn ghé ăn thử nhaaa",,
Món Việt,Xôi gà Ba Phương ,"Bán dọc đường Phạm Thế Hiển, đêm bán ở Ngã tư Phạm Hùng- Tạ Quang Bửu ",8,20- 30k ,"Ko biết hợp vị mọi người ko chứ tui ăn thấy ngon với khách mua cũng nhiều nữa. Đi từ Q5 qua ngay ngã tư nhìn bên trái 
là thấy à. Tầm 5h là anh chị đẩy xe ra ngã tư, tầm 10h30 -11h tối là hầu như hết á ",,
Món Việt,Cháo mực ,"Trước chợ Phạm Thế Hiển, đường Phạm Thế Hiển, p.5",8,Từ 15k ,"Bên này là nơi cứu đói tui mỗi lúc hết tiền, cháo ăn hơi bị ngon luôn,tính ăn thử 1 lần vì đi ngang, ko ngờ nó ngon mà 
ngày nào tui cũng phải ăn. Nhma lâu lâu vắng bóng bất chợt á :( Tầm 4h chiều là bán tới tối chắc 7-8h á",,
Món Việt,Xôi lá chuối tôm khô ,271 đường Tùng Thiện Vương - gần đường Vĩnh Nam (Khu chợ Xóm Củi),8,> 17k ,"Đợt ăn thử lần thôi, xôi nó ngon, khá lạ nhma ăn lại rất là dính, tuy chờ lâu một xíu nhma xứng đáng. 
Chỉ bán buổi sáng từ 6h- 10h nhma tầm 7h30 là xếp hàng đông lắm á ",,
Nước,Trà sữa Mon ,"Ngay cổng ra trường Đại học Công nghệ Sài Gòn, đường Châu Thị Hóa, P.4 (đi từ Cao Lỗ thì 
từ GS25 chạy xún nhìn bên phải là thấy)",8,>10k ,"Tui học ở đây nên uống suốt, trà pha hơi bị ngon luôn á, giá thì học sinh sinh viên, tui uống bên này như khách mối, nhớ tên
luôn. SV ủng hộ hơi bị nhiều, 10đ ko có nhưng. Bán từ sáng tới chiều tối á",,
Món Việt,Quán cơm - Bún bò Bé Thủy ,"Đường Châu Thị Hóa (Đối diện STU),p.4 ",8,Từ 25k,"Mình hay ăn ở đây, ăn có cơm thêm, sinh viên với giảng viên ăn đông lắm. 25k là no căng, đồ ăn có hơi mặn xíu hoi nhma 
ăn với cơm là hợp bài. Bún bò ngon nha, quá đậm đà, anh chị chủ người Huế nên đồ ăn chất lượng lắm nha. Bán từ sáng cho đến gần 5h chiều là hết r, ko có bán tối ",,
Nước,Nước sâm bông cúc- Sâm rong biển ,"Ngay góc đầu đường Ba Đình (Đi từ cầu Nguyễn Tri Phương hướng về Quận 8, xuống dốc cầu nhìn bên phải là thấy)",8,10k ,"Tui uống trc đó và đc bà chị giới thiệu, RCM sâm bông cúc, nó thanh thanh uống ngon lắm á. Mình mua cho ai uống, ai cũng khen ngon quá, nhờ mình mua suốt. Bán từ trưa tới tối khuya luôn ớ ",,
Món Việt,ỐC 30k,127 Nguyễn Chế Nghĩa Phường 12 Quận 8,8,>30k,"quán bình dân , ngon rẻ , siêu nhiều",,
Món Việt,cơm tấm Bếp Hương 25k,280 Hoàng Ngân p16 q8 (kế tiệm hủ tíu cô Tư),8,25,"buổi trưa hơi đông, nên đi buổi chiều, bán từ 10h - 20h",,
Món Hoa,Hủ tiếu xá xíu hoành thánh,"55 đường Phong Phú, Xóm Củi",8,> 40k/ người ,,,
Món Việt,Dì Bảy Lộ đỏ,Trong chợ Bông Sao ,8,30k ,"Đồ chay vị siêu thanh ngọt, dù ít ăn chay vẫn ăn ngon lành.  Nhưng bà chủ hơi tùy hứng, thích thì bán,  không thích thì đi du lịch tứ sứ. ",,
Món Việt,"Hủ tiếu, mỳ, nui, bánh canh",180 Âu Dương Lân P3 Q8,8,30-60k,Cô chủ siu cuteeeeee,,
Nước,Trà sữa Mrs Kin,Đi vào chợ bông sao quẹo phải chạy thẳng là tới,8,20 - 40k. ,Bả bán nhiều loại quá nhưng Menu siêu kinh khùng gần 40 món. Tui thường uống trái cây nhưng các lattle cũng ngon,,
Nước,Cơm gà Nha Trang Bé Ba,"797A Tạ Quang Bửu, P5, Q8",8,28-40k,cơm canh đầy đủ tầm 30k mà ngon ác,,
Món Việt,Tré trộn kiều quách,25 Đường 302 Bông Sao Quận 8,8,50-100k,"Tré trộn khá ngon, 100k nhiều xỉu luôn. ",,
Món Việt,Xe cơm tấm Long Xuyên sáng ,"Nhà thờ Nam Hải, P.4 (Qua Ngã tư TQB- Phạm Hùng bên cạnh Nhà thờ có khu đồ ăn chạy vào nhìn bên phải là thấy), hoặc sau trường Tiểu học Thái Hưng)",8,30K ,,,
Món Việt,Bún nước lèo Cà Mau (bún mắm nha cả nhà),"C5/2 Đường Phạm Hùng, Quận 8
(Map: maps.app.goo.gl/7Df3Vrx56h4XjNYE6 )",8,30-45k,"Ngay chỗ rửa xe cặp bên cây xăng Hòa Bình nha cả nhà, tầm 7h tối cô mới dọn ra bán, hôm trước kêu 1 tô 30k mà no ú ụ luôn, hình như cô chú cũng mới lên SG sống nên cũng hiền với dth lắm",,
Món Thái,Bún thái,"640 Sư Vạn Hạnh, P12, Q10",10,42-65k,"Nước dùng đậm đà, không phải nước giống lẩu Thái đâu :))) Cân nhắc vì chỗ ngồi khá nóng ",,
Món Hoa,Papa Lee Noodles ,7/41/15 Thành Thái,10,< 30k,,,
,Himaa Matcha,"192/30-32 Ngô Quyền, P8, Q10",10,>30k,"Matcha Nhật, có nhiều loại dòng trung bình thấp, pha khá ngon",,
,Chè Thanh Thanh,"142 Cao Thắng, P10, Q10",10,>30k,"Chè ngon, thanh, ít ngọt, có 2 loại cốt, loại cốt của bánh flan ngon hơn chè thái",,
Món Việt,Bún bò cô Thu,"463B CMT8, P13, Q10",10,>35k,"Ngon, đầy đặn, quán lề đường ngồi bàn thấp",,
Món Hoa,Khang Dimsum,"200 Nguyễn Tri Phương, P4, Q.10",10,150 - 250k,,,
Món Việt,Bột chiên Nguyễn Kim,"187 Nguyễn Kim, Phường 6, Quận 10, Hồ Chí Minh",10,30 - 60k,"Mở từ 11h trưa tới 10h tối, thương lắm mới chỉ nha, đông quá tui hông có chỗ ngồi 🥲",- Quán của cô chú người Hoa mở từ rất lâu rồi nhen. Ăn ngon và bình thường cũng siêu đông,
Ăn vặt,"Gạc-Măng-Rê (Đồ ăn vặt: bánh tráng, cá viên,...)","7/25, Thành Thái, Phường 14, Quận 10",10,30 - 60k,Decor theo style xưa,,
Nước,Min Tea & Hotdog ,"207/35 Đ. 3 Tháng 2, Phường 10, Quận 10, Hồ Chí Minh",10,30-100k,Trà sữa đậm trà,,
Món Việt,Phở Bi Sắt,28 Ngô Quyền P8 Q10,10,45-65k,"sáng bán bth, chiều 16-20g T2-6 hui",,
Món Việt,Bún bò Xưa ,"169 Cao Thắng, phường 11, quận 10 ",10,35 - 50,"Ngonn lắm á, nhiều chi nhánh, gia truyền mà giữ được giá tốt",,
,ALittle Tea,"230 Nguyễn Tri Phương, P4, Q.10",10,45 - 60k,đăng ký thành viên được free topping,,
Món Việt,Bò Kho Gánh Sài Gòn,"Chung Cư Ngô Gia Tự, Lô H/029 Đ. Sư Vạn Hạnh, P.2",10,50 - 100k,cạnh chè mâm Khánh vy,,
Món Hàn,Kokoria - món Hàn,"207/33 đường 3 tháng 2 Tổ 58 Khu phố 6, Phường 10, Q10",10,55-300k,Sốp nào thích ăn đồ Hàn thì ưu tiên nha:3,,
,Chè mâm Khánh Vy,Ngay góc chung cư Ngô Gia Tự ,10,7-12k,,,
,Nhà hàng chay Vajra,"711 Đ. Lê Hồng Phong, Phường 12, Quận 10",10,70 - 150k,,,
,Trà sữa Băng Thành,"352 Nguyễn Duy Dương, quận 10",10,,"Đậm trà, mấy anh khiếm khuyết pha í nên siêu rcm ủng hộ ạ",,
,B ún bò,,,,,,
,"OH STYLE  ( Gà sốt, tok, ramen gà,…)","436a/63 3 tháng 2 ( Ngon, rẻ bị cái đợi lâu)",10,,,,
,Trà sữa Nhà Pao's,"513 CMT8, P13, Q10",10,,Trà sữa pha máy đậm vị,,
,Bánh tráng trộn Cô Lan,"01 đường 3/2, P11, Q10",10,,,,
,Trà sữa FUTEA Thành Thái,"108 Thành Thái, P12, Q10",10,,,,
,Quán cô Năm chim cút chiên bơ,"54 Đồng Nai, Phường 15",10,10-35k,"Đi tối hơi đông, chiều thì okie nhe",,
,Bánh canh cua Hạnh,"Chung Cư Ngô Gia Tự, Lô F/001 Hoà Hảo, Phường 2, Quận 10",10,45k,,,
,Aussie Meat,"595/29A3 Cách Mạng Tháng 8, Phường 15, Quận 10",10,100-340k,"Beef steak vỉa hè, đắt mà ngon , dùng ribeye với tenderloin",,
,Ramen Kimura,465 Sư Vạn Hạnh,10,<60k,,,
,Tiệm bán bắp rang bơ,"54 Thành Thái, P.12, Q. 10 (Trước nhà thờ Đồng Tiến)",10,15k,"Có nhiều vị socola, matcha, nguyên bản,....",,
,Cơm tấm Vĩnh Viễn,"227, Vĩnh Viễn, phường 4, quận 10",10,29-45k,,,
,Chốn riêng ,156/7e Tô Hiến Thành P15,10,<25k,,,
,Bánh tráng trộn ,623/20/33 Đường Cách mạng Tháng 8 ,10,>20k ,"Bánh tráng của bà tui mua ăn nhiều lần rồi. Ta nói mở bịch bánh ra là nó muốn ăn rồi, có thịt bằm trộn, ăn nó dính lắm. Tui ăn
1 bịch còn k đã, phải ăn 2- 3 bịch ms chịu, bán chắc tầm tối mng qua là okie. Bữa tui qua là 7h tối á ",,
,Chè thái Ý Phương,"382 Đ. Nguyễn Tri Phương, Phường 4, Quận 10",10,40k,"Quán này cũng nổi, một ly chè đầy ụ nên giá thấy vừa phải",,
, ,Hẻm 660 Đường 3/2 (Trước chung cư Hòa Bình),10,Từ 40k,"Bữa nguyên hội đi ăn, ăn ngon lắm nè. Thịt nướng ngon, nước mắm thanh nóng hổi. Nói chung nó ngon ",,
,Bánh canh cua cô dung gia truyền,"291 Vĩnh Viễn, P8, Q10",10,45-48k,Ngonnnnnnnnn,,
,Chef Gấu (cơm curry Nhật với thịt heo chiên xù),"41/28 Đ. Ngô Quyền, Phường 6, Quận 10",10,>80k,"nghỉ thứ 3
nên order trên app vì có nhìu mã",,
,Bún sứa,416 hoà hảo f5 q10 (nhìn xéo qua chứ không nhớ địa chỉ cụ thể),10,>32k,"(hợp với bạn nào khoái nước dùng thanh nhạt, 1 tô chà bá, theo khẩu vị của mình thì thấy nó ngon nma hình như k nhiều người biết, mng đến giải cứu đi ạ chứ mình sợ quán đóng cửa )",,
Món chay,Quán chay Thôi Kệ,"727 Đ. Lê Hồng Phong, Phường 12, Quận 10",10,> 15k,"Ê chỗ này bao la bạt ngàn đồ chay luôn, bánh bao bánh xèo, mì gói, lẩu,... đủ các thể loại trên trời dưới đất. Mặc dù quán có ăn tại chỗ nhma t thấy không gian nhỏ + nóng, thích hợp take away hơn. Lúc nào cũng đông hết, +1 quán chay rẻ ngon chất lượng cho các mom nha",,
Món chay,Nhà hàng chay Vajra,"711 Đ. Lê Hồng Phong, Phường 12, Quận 10",10,>50k,"Một chiếc nhà hàng chay mà t siêu thíchhh, từ món ăn đến không gian luôn. Mang danh nhà hàng nhma thiệt ra t thấy giá cả vẫn uci trong tầm giá í. Ncl rec nha",,
,Bánh canh cua,"gần 145 Tô Hiến Thành, q10 ",10,30k,"Má ơi, t nói có khi ngon hơn bánh mì Huỳnh Hoa :) Pate và bơ cho rất nhiều, thịt cũng vậy. Đặc biệt pate rất ngon mà giá rẻ vcl. Nhớ k nhầm là 30k j đó, có thể giờ khác BUT NGON VCL",,
,Malatang - Mala Panda,"Sư Vạn Hạnh, Quận 10",10,70-200k,,,
,Bánh canh ghẹ Muối ớt xanh,484c nguyễn tri phương p9 q10 hcm,10,80-150,Giá mắc nhưng chất lượng lắm. Tuỳ size ghẹ giá khác. Nước dùng bánh canh siêu siêu siêu siêu ngon. Nhưng đừng ăn vào cuối ngày vì nước bánh canh sẽ bị mặn hơn (chắc do hâm lại nhiều ???…),,
Món Việt,Bún đậu Nón Lá (Gần UEH csB),"188 Nguyễn Tri Phương, P.4, Quận 10, TP. HCM",10,25k-60k,"Siêu nhiều, siêu ngon, siêu nóng, siêu giòn, nhân viên siêu dễ thương",,
,Cút chiên bơ cô Oanh,"212 Tô Hiến Thành, Q10",10,>22k,,,
,Bò kho,"Quán ngay hẻm đầu tiên trên đường Trần Nhân Tôn, hướng từ Ngô Gia Tự đi vào í (trên gg map đoạn đó hiện tên là Ốc Cẩm) ",10,Đồng giá 50k,"Bò kho ở đây tui thấy rất lạ so với các quán khác quanh SG, nước dùng đậm đặc chứ không phải dạng lỏng nhạt. ",,
,Hancook Korean Fast Food,"263 Đ. Nguyễn Tri Phương, Phường 8, Q10",10,,"Ăn được, giá sinh viên",,
,Hi Sushi,"592/1C Lạc Long Quân, P5, Q11",11, >100k,"với mình thì khá rẻ so với chất lượng và lượng đồ ăn á, nước cũng khá ngon",,
,Sinh tố nước ép,Nằm trên đường Công Chúa Ngọc Hân quận 11. Trên gg địa chỉ là nằm ở đầu hẻm 80 Lãnh Binh Thăng,11,Từ 10k,Sốc vì lần đầu mình mua 2 ly sinh tố không nói size gì xong các bạn lấy size nhỏ nhất của quán (hình như 500ml). Kiểu chuẩn bị tâm lý chuyển khoản chắc 40 50k mà các bạn nvien nói 2 ly 20k t sốc quá trời sốc. Sinh tố ngon nha. Tuỳ size tuỳ loại quả có giá khác nhau. Mình chỉ hay uống sinh tốt dừa nên ly 10k 1 lần là quá đủ rồi,,
,Trà đào dầm Chu Trang,"22E 100 Bình Thới, Phường 14, Quận 11, Hồ Chí Minh",11,>20,Chỗ này best seller trà đào dầm 🥹  trà mãng cầu cũng ngoan toẹt. Nói chung là ở đây bán nhiều loại trà trái cây lúm 😍,,
,Nem chua rán Ba Bêu,"57 Tân Khai, Phường 7, Quận 11",11,> 40k,có trên mấy app giao hàng,,
,Bún bò cây nho,"343G Lạc Long Quân, P5, Q.11",11,40 - 60k,,,
,Há cảo Hùng Ký,"312 Lạc Long Quân, Phường 5, Quận 11
(phía ngoài chung cư 312)",11,42 - 70k,"Chỉ bán buổi sáng tới 12h trưa, ko chuyển khoản
một trong hai anh chủ có thái độ hơi khó chịu nên cân nhắc nha",,
,Ăn vặt Sapinkie,"103/18 Thái Phiên, Phường 1, Quận 11",11,50 - 100k,có trên shopeefood,,
,Sủi cảo Ngọc Ý,"187 Hà Tôn Quyền, P17, Q.11",11,60 - 150k,,,
,Cơm cháy chà bông ,Gần ngay trước Ministop Phú Thọ - Hàn Hải Nguyên,11,15- 20k,"H ở xa ít ghé nhưng mà thèm là mua liền, bth bán cho khách cũng nhìu ăn no lắm á. Nhìn bắt mắt nữa. Bán từ 4h chiều tới 8h tối á.",,
,Hồng trà Dì Anh ,"70 Đường Số 5 - Cư xá Bình Thới, Phường 8, Q11",11,>15k ,,,
,mì xào phá lấu a tèo,230 bình thới q11,11,<50,,,
,Quán bún mọc Cô Phương (Tui nhớ z tại lâu r ko ăn),"Quanh nhà thờ Phú Bình, 421 Lạc Long Quân, P.5",11,40k hay sao á ,Đợt đó tui ăn vs chị. Thấy ăn cũng okiela phết. Nó nhìu topping với lại nước dùng cũng khá là ngon,,
,Bò né Zin Zin,"242/18 Đ. Hàn Hải Nguyên, Phường 10, Quận 11",11,35 - 55k,chỉ bán tới 12h trưa,,
,Góc Ăn Vặt,"GÓC ĂN VẶT TRƯỜNG CHINH, Đường DD4, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",12,20ka - 169ka đổ lại ,"Best seller : DỪA DẦM HẢI PHÒNG , Lẩu tokboki ramen nch tất cả món ăn vặt đều giá bình dân ổn và có cả lẩu và nướng nhé cả nhà hjhj",,
,Noodle Home,"38-40 Đường Số 6, Ấp 4, Bình Hưng, Bình Chánh",Bình Chánh,"30-65, lẩu 100-300","thấy lẩu oke nhất, ko bị quá mặt chua thanh ngọt dịu",,
,tiệm bánh GoGo House,"F1/57H đường Quách Điêu,Vĩnh Lộc A, Huyện Bình Chánh",Bình Chánh,50<,"bánh siêu rẻ mà chất lượng, nhân viên với chủ quán cũng dêz thương lắmm",,
,"Quán bánh tiêu, bánh bao chiên ","C3/21 Phạm Hùng, Bình Hưng (Trước nhà thuốc Minh Hiếu 1)",Bình Chánh ,>200k,"Có lần bạn dẫn đi mua, ăn ngon nha, bạn tui hay ăn bánh bao chiên, còn tui thích ăn bánh tiêu ở đây, ngon lắm nha rồi có bánh đùi gà tẩm đường cũng ngon lắm á nha, giá cũng khá okie nữa, nhìu loại bánh chiên ăn ngon nha (Bán từ tầm trưa đến chiều tối á mng)",,
,Bánh tráng chiên,Đường Tên lửa. Quán Út Hiền,Bình Tân,Nhiều giá,,,
,Cơm gà Phan Anh,"121 Phan Anh, P. Bình Trị Đông , Quận Bình Tân , TP. HCM",Bình Tân,30-35,"Quán có bảng hiểu chữ vàng nền đỏ do bảng để gốc hơi khuất mn để ý nha, rcm cơm gà + trứng chiên lòng đào",,
,WE's Corner Coffee,"226 Nơ Trang Long, Bình Thạnh",Bình Thạnh,< 50k,"cookie siêu đẹp custom theo yêu cầu, quán cà phê nhiều không gian (thích hợp đi nhóm đông, và cả 2 mình, 1 mình)",,
,Bánh mì chảo,208 Chu Văn An,Bình Thạnh,<38k,must try sốt bơ tỏi,,
,Bún riêu,"Kế bên quán mì Sủi cảo 315 Nơ Trang long, P13, BT",Bình Thạnh,>25k,"Bán buổi sáng, quán lề đường ngay con hẻm ",,
,Trà sữa Mộc,"100 Đường D5, Phường 25, Bình Thạnh",Bình Thạnh,>25k,"Topping ở đây rất ngon, đa dạng, nên thử ",,
,Chảo Bánh Mì,47/24/33 Bùi Đình Túy P24,Bình Thạnh,~38k,,,
,Sushi Ba,"3 Nguyễn Công Trứ, Phường 19, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,100-200k/ng,"Bán sushi viên tự chọn vào chiều tối siêu ngon siêu rẻ, trưa chỉ có gọi món menu, quán nhỏ",,
,Cà phê Tớ 1438,167 Nguyễn Văn Thương Bình Thạnh,Bình Thạnh,20-40,,,
,Colli Berry,"69/38/19 Nguyễn Gia Trí, Phường 25, Bình Thạnh",Bình Thạnh,25 - 70k,có mí món về dâu dâu siêu tươi siêu ngon tại chủ quán ng đà lạt nhà trồng dâu😋,,
,Bánh mì chảo,"179 Phan Chu Trinh, P13, Bình Thạnh",Bình Thạnh,30-60k,,,
,Xôi Cậu Bảo,"214/4A Vạn Kiếp, Phường 3, Quận Bình Thạnh",Bình Thạnh,35-55,"Chỉ bán mang đi, trưa lừoi nấu ord trên mấy app rẻ cực ",,
,Checho Chicken,"69/47 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",Bình Thạnh,>18k,Quán bán từ 3h chiều tới 2h sáng ăn khuya ngon lắm:> 18k mua dc 1 miếng gà mà ăn no thì 35k hộp cơm 2 miếng với salad gất ngon,,
,Haru Cottage,"15/10 Nguyễn Huy Tưởng, Phường 7, Bình Thạnh",Bình Thạnh,40 - 150k,"chi nhánh khác của Haru Cafe, không gian thoáng, rộng hơn với có workshop làm gốm",,
,Kaiqua - Mì cay khô Hàn Quốc,"60/8 Ung Văn Khiêm, Phường 25, Bình Thạnh",Bình Thạnh,60k,,"Quán này oke mấy 2, siu ngon",
,"Danshaku Cafe (soda kem, mấy món tráng miệng Nhật, có đồ mặn)","Tầng 3, 40/19 Phạm Viết Chánh, phường 19, quận Bình Thạnh",Bình Thạnh,nhiều giá,"nghỉ thứ 2, thứ 3 - 6 10-22h, t7 cn 8-18h",,
,Bánh tráng tỏi 019,"(nhiều chi nhánh) 290/45/2 Nơ Trang Long, P12, Bình Thạnh",Bình Thạnh,,Bánh tráng tỏi ớt rất ngonn,,
,gà rán oppa chicken,"15 Ung Văn Khiêm, Bình Thạnh",Bình Thạnh,,,,
,Lạc - Buffet chay lẩu nấm,"213 Đặng thùy Trâm, P13, Bình Thạnh",Bình Thạnh,,"Buffet lẩu chay, có gọi thêm topping mặn",,
,DingDing cafe,"Hẻm 23, Lê Văn Duyệt, Phường 1, Bình Thạnh",Bình Thạnh,>30,"không gian quán khá nhỏ, có tầm 4-5 bàn thui, nhưng mà khá chill á
cà phê ở đây có khá nhiều loại, mọi ng có thể chọn uống robusta hoặc arabica hoặc blend đc luôn",,
