STT,Tên quán,Tên món,Phân loại món,Tên đường,Quận,Giờ mở cửa,Khoảng giá,Note
174,"Bánh mì ca dé Hoa, Xôi sá bấu",Bánh mì ,Bánh mì,"327J Tùng Thiện Vương, Quận 8",Quận 8,"6h-8h",25 - 45k,
175,Hủ Tiếu Ngon rẻ,Hủ Tiếu,Món nước,"679/6 Vĩnh Viễn
659/7 Vĩnh Viễn",Quận 11,15:00 - 22:00,25k,
176,Xôi mặn gà gán,Xôi,Món khô,Trước trường bạch đăng Lê văn sỹ quận 3,Quận 3,,"25k
",
177,Bún bò siêu chất lượng ,Bún bò,Món nước,"273/1B Tô Hiến Thành Quận 10",Quận 10,5h - 11h tỗi,"50k",
178,Bánh xèo giòn bình thuận ,Bánh xèo,Món khô,"1 Huỳnh đình Hai, phú nhuận",Quận Phú Nhuận,15h-21h,12k,
179,"Bánh mì chiên tôm cô sen",Bánh mì,Món khô,403 Đoàn Văn Bơ,Quận 4,"12h-4h
",25 - 45k,
180,"Nem chả lụi",Nem,Món khô,21 Nguyễn Văn Nghi Gò Vấp,Quận Gò Vấp,15h-22h,35k,
181,Bánh mì bơ Campuchia,Bánh mì ,Bánh mì,"175 Cống Quỳnh",Quận 1, 5.000đ - 15.000đ, 5.000đ - 15.000đ,
182,Hủ tiếu Thái Lan Hihi,Hủ tiếu,Món khô,"225/7 Nguyễn Đình Chiểu, Quận 3 ",Quận 3,10h-21h30,35k,
183,Bánh xèo tôm nhảy ,Bánh xèo,Món khô,"104 Nơ Trang Long, Bình thạnh",Quận Bình Thạnh,09:00 - 22:00,30k,
184,"
Hủ tiếu xóm chiếu nhiều topping",Hủ tiếu,Món nước,"Hẻm C13 (Đối diện Circle K trường tiểu học xóm chiếu)
 số 9 Tôn Đản, P. 13, Q.4, Tp. HCM.",Quận 4,Chiều - tối,,
185, Bún Bò Sông Hương, Bún Bò,Món nước,"123 Trần Quốc Thảo, Quận 3",Quận 3,"6-10h",60k,
186,Lẩu nướng bò ba lão,Lẩu nướng,Lẩu,993 Hoàng Sa,Quận Bình Thạnh,16-22h,20.000đ - 200.000đ.,
187,Hủ tiếu Dê GIA ĐẠT,Hủ tiếu,Món nước,"111 Thái Phiên, P.2, Q.11",Quận 11,"6h - 10h30
",40.000đ - 120.000đ.,
188, Tré trộn đặc biệt ,Tré trộn,Ăn vặt,Góc đường Nguyễn Thị Minh Khai - Trương Định ,Quận 3,"17h",80k,
189," Má heo nướng, lẩu
","nướng, lẩu",Lẩu,"51 Đường Số 10, Linh Trung, Thủ Đức",Thủ Đức,,,
190,Bún Mộc A Chảy,Bún mộc,Món nước,"2028 Phạm Thế Hiển, Quận 8",Quận 8,23-8h, 50-60k,
191,"Cá Viên Lữ Gia",Cá,Món khô,"20i Lạc Long Quân, Quận 11",Quận 11,,,
192,Bơ bán bò Xemisxis,"Bò nướng, các thứ món về bò",Sang choảnh - Không gian xinh,"203 Lê Văn Việt, Phường Hiệp Phú, Thành phố Thủ Đức 
▪️ CC26 Trường Sơn, Phường 15, Quận 10 
▪️ 31E Lý Tự Trọng, Phường Bến Nghé, Quận 1",Quận 1,17g00-22g00,"Combo 450k 2 người
",
193,SUPER BÒ,"Bò nướng, các thứ món về bò",Nhậu nhẹt,"175 Nguyễn Văn Tiết, Hiệp Thành, Thủ Dầu Một
📍88 đường D4, Chánh Nghĩa, Thủ Dầu Một
📍95 Nguyễn Văn Tiết, Lái Thiêu, Thuận An
📍23 đường GS1, Đông Hoà, Dĩ An
📍447E Lê Văn Việt, Tăng Nhơn Phú A, Quận 9
📍254 Hoàng Diệu 2, Linh Chiểu, TP Thủ Đức",,17:00-22:00,,
194,Bánh Mì 179 ,Bánh mì,Bánh mì,"179 Xóm Chiếu, Quận 4",Quận 4, 16-21H,20-25k,
195,Bún bò Food By K (quán xinh),"Bún bò, lẩu sườn sụn",Món nước,"17A Nguyễn Thị Minh Khai, P. Bến Nghé",Quận 1,07:00 - 21:00,65-80k,
196,Bánh mì sườn sụn,Bánh mì,Bánh mì,"118B Nguyễn Thần Hiến, Quận 4",Quận 4,15h-22h,10.000đ - 30.000đ,
197,Bún Riêu Hà Nội ,Bún Riêu ,Món nước,"110 Cao Thắng, Quận 3",Quận 3,08:00 - 21:30,15.000đ - 80.000đ,
198,"Cơm Bình Nga",Cơm,Cơm,"349 Nguyễn Công Trứ, Quận 1",Quận 1, 16:00 - 23:59,30.000đ - 65.000,
199,"Phở Thu",Phở,Món nước,"433 Hậu Giang, P.11, Quận 6",Quận 6,6h30-11h30,,
200,Phở Phan Bội Châu ,Phở,Món nước,"17B Phan Bội Châu, Bình Thạnh",Quận Bình Thạnh,5h-24h,60k,
201, Bánh Mì Chả Cá,Bánh mì,Bánh mì,"Dối diện 27 Cô Giang, Quận 1",Quận 1,18h-2h sáng,20k,
202," Bánh Mì","Bánh Mì
",Bánh mì,"1B Tân Hoà Đông, Quận 6
",Quận 6,07:00 - 09:00,25.000đ - 30.000đ,
203, Lẩu tôm hùm đại dương,Lẩu,Lẩu,"67 Lê Trung Nghĩa, Tân Bình",Quận Tân Bình,từ 5h chiều,"140k",
204,Chú béo BBQ,Nướng,Sang choảnh - Không gian xinh,"16 Đồng Nai, Phường 15, Quận 10, Thành phố Hồ Chí Minh",Quận 10,từ 5h chiều,139k,
205,"Bánh mì gánh xíu mại, chả","Bánh mì gánh xíu mại, chả",Bánh mì,Ngã ba Vũ Huy Tấn + Vạn Kiếp (cafe nghệ sĩ),Quận Bình Thạnh,14:00 - 17:30,15k,
206,Bún bò O Thuỷ,Bún bò,Món nước,"220/5 Lê Văn Sỹ, P. 14",Quận 3,06:30 - 20:00,60-80k,
207,bún bò cô Cúc,Bún bò,Món nước,Chợ Nguyễn Văn Trỗi,Quận 3,14h - 18h,50k,
208,Xuân Huỳnh - Trà Sữa & Trái Cây Tự Chọn,Trái cây,Ăn vặt,"244A Lê Quang Sung,",Quận 6,13:30 - 21:00,35-40k,
209,Bún Cá Hạnh Béo,Bún cá chấm chiên giòn,Món nước,"88 Phan Xích Long, P. 3",Quận Bình Thạnh,07:30 - 21:30,50-60k,
210,"TỔNG HỢP CÁC CON PHỐ ĂN UỐNG TẠI SÀI GÒN 🍜🍜

1. Phố ẩm thực Nguyễn Thượng Hiền

2. Phố ẩm thực Khu đô thị Vinhomes Grand Park

3. Phố Ẩm Thực Đài Loan raohe

4. Hẻm 76 Hai Bà Trưng

5. Hẻm 200 Xóm Chiếu

6. Hẻm 177 Lý Tự Trọng

7. Phố ăn vặt An Dương Vương

8. Phố ẩm thực Phan Xích Long 

#mammamsaigon",,,,,,,
211,Bánh Mì Thịt Nướng - Nguyễn Trãi,Bánh mì thịt nướng,Bánh mì,"39 Đ. Nguyễn Trãi, Phường Phạm Ngũ Lão",Quận 1,17:00 - 19:30,28k,
212, THANH TÂM - BÒ NHÚNG MẮM RUỐC,,Lẩu,"1346 CMT8, P.Phú Thọ, TP. Thủ Dầu Một",,16H - 21H,200k,
213,Quán chị 7,Bò nhúng mắm ruốc - lẩu bò,Lẩu,"D15 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",Quận 6,,,
214,Lẩu Bò Nhúng Mắm Ruốc Bếp Ông Lập,Bò nhúng mắm ruốc - lẩu bò,Lẩu,"591 Cách Mạng Tháng 8, P. 15,  Quận 10,
292A - 292B Trần Phú, P. 8, Quận 5, TP. HCM
75 Trường Sơn, P. 15, Quận 10",Quận 10,09:00 - 22:00,300k,
215,BÚN THÁI CHỢ CAO ĐẠT,Bún mắm,Món nước,"Chợ Cao Đạt, 197 Cao Đạt, Phường 01",Quận 5,8H-15H,,
216,LẨU MẮM ĐIỆN BIÊN PHỦ,Lẩu mắm,Lẩu,197 Điện Biên Phủ,Quận Bình Thạnh,,,
217,BÚN MẮM BẠCH TUỘC,Bún mắm,Món nước,"198/18 Dương Bá Trạc, Phường 2,",Quận 8,6h sáng đến hết,,
218,BÚN MẮM HEO QUAY DA GIÒN,Bún mắm,Món nước,"56 Đường số 10, phường Tân Quy",Quận 7,6H-21H,,
219,BÚN THÁI CÁ HỒI HỒNG KÔNG,Bún thái,Món nước,032 Lô E Cc Nguyễn Thiện Thuật,Quận 3,8h - 17h,55-65k,
220,BÁNH MÌ CHẢO ĐẶNG TRẦN CÔN,Bánh mì chảo,Bánh mì,"8 Đặng Trần Côn, Q.1, HCM",Quận 1,4:00-11:00,48k,
221,Bún thịt nướng buổi sáng,Bún thịt nướng,Món khô,"205 Lạc Long Quân,P3 , Q11",Quận 11,5h30_9h30,15k-25K,
222,Bún thịt nướng sốt đậu miền Trung,Bún thịt nướng,Món khô,"64 Hồng Hà, Phường 02, Quận Tân Bình, Hồ Chí Minh",Quận Tân Bình,8:30 - 21:30,40-45,
223,Tré trộn Kiều Quách,Tré trộn,Nhậu nhẹt,"27 đường 302 Bông Sao, Phường 5, Quận 8",Quận 8,16h-20h,,
224,Bò La Lốt Hoa Trang,Bò là lốt,Món khô,"100b Thích Quảng Đức, Phường 5, Phú Nhuận",Quận Phú Nhuận,15h-21h,,
225,"Ăn + trà sữa, giá bình dân",Ăn vặt,Ăn vặt,"152/15 Vĩnh Viễn, P.9",Quận 10,15h-22h,,
226,"Bánh flan, rau câu Bờ kè Hoàng sa","Bánh flan, rau câu",Tráng miệng,893 Hoàng Sa,Quận 3,15:30 - 22:00,10k,
227,"Lẩu Xí Quách, Có hủ tiếu mì",Lẩu xí quách,Lẩu,"Hẻm 90 Nguyễn Thị Tần, P. 2,",Quận 8,04:00 - 08:00 | 16:00 - 20:00,"120-170k, hủ tiếu 40-50k",
228,Bún Thái - Kiểu Hongkong,Bún thái,Món nước,"456 Sư Vạn Hạnh, P. 9, ",Quận 10,07:30 - 13:30 | 16:00 - 21:30,50k-70k,
229,Cơm tấm Nạc giòn,Cơm tấm,Cơm,"33/16 Nguyễn Đình Chính,  Quận Phú Nhuận, T",Quận Phú Nhuận,05:30 - 11:00,45-60k,
230,Hột vịt lộn Hoàng Vân,Hột vịt lộn,Ăn vặt,"2B Bàn cờ, ",Quận 3,15h - 22h,"Bình dân, cút lộn, hột vịt lộn",
231,"Thằng Đậu - Bún Bò, Lẩu Bò",Lẩu bò,Lẩu,"566 Sư Vạn Hạnh, P. 10,  Quận 10",Quận 10,06:00 - 23:00,250-300k,
232,Cà phê Nghèo (có bánh bông lan ngọn),Cà phê quán cốc chill,Quán nước,"441/7 Nguyễn Đình Chiểu, P. 5,  Quận 3,",Quận 3,15h-12h khuya,25-30k,
233,Bò Cô Ri - Thành Thái,"Bò nướng, lẩu bò mắm ruốc",Sang choảnh - Không gian xinh,5 Thành Thái,Quận 10,07:00 - 23:00,200-300k,
234,Bún cá Chấm giòn,Bún cá chấm,Món nước,"5 Thành Thái, P. 14,  Quận 10",Quận 10, 07:00 - 23:00,55-60k,
235,Phở bò viên Đào,Phở,Món nước,C13 Tôn Đản,Quận 4,17h-2h,,
236,Bánh canh cua ngon Quận 1,Bánh canh cua,Món nước,87 Trần Khắc Chân,Quận 1,11h-22h,,
237,Bánh mì Bì xíu mại Quận 7,Bánh mì,Bánh mì,"Ngã tư đường số 10 và 17, Tân kiểng",Quận 7,6h30-10h,22k,
238,Bánh mì Chị Trang,Bánh mì,Bánh mì,82 Tân Khai,Quận 11,6h-11h,15k-25k,
239,Xôi Lan Anh,Xôi mặn,Bánh mì,Chợ Phùng Hưng,Quận 5,6h-10h,,
240,Bún đậu Bếp Xưa,Lẩu riêu cua,Món khô,79 Lê Văn Duyệt,Quận Bình Thạnh,7h-23h,150-200k,
241,Vua Đậu - Bún đậu nhà vua,Bún đậu,Món khô,Nhiều chi nhánh,Quận 10,10:00 - 21:51,50-60k,
242,Thịt xiên nướng - Cơm Lam,Thịt xiên nướng,Món khô,"48 Đồng Đen, P.12",Quận Tân Bình,16h-22h,12k-20k,
243,Lẩu bò mang về,,,,,,,
244,Osaka Ramen,Mì Ramen,Món nước,64 Nguyễn Thời Trung,Quận 5,11:00 - 22:00,50-60,
245,Cơm Tấm Hồng Cầu Calmette,Cơm tấm,Cơm,,,,,
246,Quán Ốc Cô gái có râu,Ốc,Nhậu nhẹt,,,,,
247,Bún thịt nướng Hằng (nước mắm củ kiệu),Bún thịt nướng,Món khô,"338 Đ. Nguyễn Công Trứ, Phường Nguyễn Thái Bình",Quận 1,12h-18h,40k,
248,Young Dabang,Đồ hàn,Sang choảnh - Không gian xinh,"147 Nguyễn Đức Cảnh, phường Tân Phong, Quận 7
19M KDC Miếu Nổi đường Vũ Huy Tấn, Phường 03, Quận Bình Thạnh",Quận Bình Thạnh,11h - 22h,300k,
249,Bánh canh Bò viên,Bánh canh,Món nước,"29 Đ. Nguyễn Văn Nguyễn, Phường Tân Định",Quận 1,11h-19h,30-40k,
250,Ốc Ti,Ốc,Nhậu nhẹt,"18 Lô D Chung cư Nguyễn Thiện Thuận, Phường 1, Quận 3",Quận 3,00:01 - 01:00 | 15:30 - 23:59,Bình dân,
251,Bít tết 015,Bò beefsteak,Món khô,015F Chung cư Ấn Quang,Quận 10,08:00 - 21:00,Sinh viên,
252,Bún bò huế O Xíu,Bún bò,Món nước,"102 Trần Quang Khải, P. Tân Định, Q. 1",Quận 1,15H00 - 03H00,40K - 60K/Phần,
253,Cơm Tấm Hẻm 33,Cơm tấm,Cơm,"33/16 Nguyễn Đình Chính, phường 8, Phú Nhuận",Quận Phú Nhuận,05:30 - 11:00,40-60k,
254,Tré trộn Út Vân,Tré trộn,Nhậu nhẹt,"152 Nguyễn Thượng Hiền, P. 4,  Quận 3",Quận 3,10:00 - 17:00 ,50k,
255,Tré trộn Cô Bé,Tré trộn,Nhậu nhẹt,"306 Nguyễn Thượng Hiền, P. 4,  Quận 3",Quận 3,08:00 - 21:00,50k,
256,Xôi Mặn Bắc Chuẩn Vị,Xôi mặn,Bánh mì,"180 Ký Con, P. Nguyễn Thái Bình,  Quận 1",Quận 1,06:30 - 13:00 | 16:00 - 21:00,40-60k,
257,Bánh bèo Huế chợ Bến Thành,Bánh bèo,Ăn vặt,Cửa 7 Chợ Bến Thành,Quận 1,7h-17h,23k,
258,Hủ tiếu gà Gò Công,Hủ tiếu,Món nước,"1B Đường số 10, Tân Quy, Quận 7",Quận 7,6h-22h,40-60k,
259,Bánh mì Bì Nem Xe Đạp,Bánh mì,Bánh mì,"14h bắt đầu đi từ Phan Châu Trinh xuống Cô Giang, Hoàng Văn Thụ, rồi về Huỳnh Thúc Kháng",Quận 1,14h,15k,
260,Cơm Tấm Đề Thám,Cơm tấm,Cơm,"272 Đề Thám, P. Phạm Ngũ Lão, Q.1",Quận 1,9h - 1h ság,50k,
261,Bún Riêu Cô Út,Bún riêu,Món nước,"219 Nguyễn Trãi, Nguyễn Cư Trình",Quận 1,11h-22h,30k,
262,Bánh mì Xíu mại ngon,Bánh mì,Bánh mì,1A Hồ Văn Huê,Quận Phú Nhuận,"sáng, số lượng có hạn",30-100k,
263,Bún thịt nướng sốt đậu Tây Sơn,Bún thịt nướng,Món khô,"314 Nguyễn Thái Sơn, phường 4",Quận Gò Vấp,06:00 - 10:00 | 15:00 - 22:00,30-40k,
264,Bún Đậu Nhà Vua,Bún đậu,Món khô,"63 Bình Thới, P. 11,  Quận 11",Quận 11,10:00 - 22:20,50-60k,
265,Bún cá Kiên Giang,Bún cá,Món nước,251/5 Nguyễn Thiện Thuật,Quận 3,6h-18h,35k,
266,Bún mắm Kim Hoa,Bún mắm,Món nước,"Chợ Nguyễn Tri Phương, Quận 10",Quận 10,,,
267,Phở bê Thanh Đa (Không gian sáng SG cuối tuần),Phở,Món nước,"21-23 Hoàng Sa, Đa Kao",Quận 1,6h-13h,70k,
268,Miến măng vịt,Miến vịt,Món nước,181 Bùi Thị Xuân,Quận Tân Bình,11h-21h,50k,
269,Bún mọc Hiếu Hiền,Bún mọc,Món nước,"23/2 Hoàng Sa, Đa Kao",Quận 1,6h-13h,45k,
270,Mì bò hầm Đài Loan,Mì bò hầm,Món nước,Hẻm 80 Lê Hồng Phong,Quận 5,09:30 - 21:00,60-70k,
271,Bánh canh Cá Lóc 25k,Bánh canh,Món nước,340 Nguyễn Sơn,Quận Tân Phú,6h-12h ; 16h-23h,25k,
272,Bánh canh Cá Lóc Quảng Trị O Hiền ngon 30k,Bánh canh,Món nước,12/20 Phạm Văn Hai,Quận Tân Bình,12h-19h,30k,1-15 nghỉ
273,Hoành thành lá nước tôm khô,Hoành thánh,Món nước,"Hẻm 66 Lãnh Binh Thăng, Phường 13, Quận 11",Quận 11,14h30,,
274,Vua Mì (Không gian quán ok),Mì bò Đài Loạn,Món nước,"76 Đường D5, Bình Thạnh",Quận Bình Thạnh,11:00 - 23:59,6-70k,
275,Dimsum - Trà sữa (View Resort),Dimsum - Trà sữa,Món khô,"89A Nguyễn Đình Chiểu, P. Võ Thị Sáu",Quận 3,08:00 - 22:00,50-60k,
276,Baito Ramen (Không gian nhật Giá rẻ),Mì Ramen,Món nước,C24/7 Xóm Chiếu,Quận 4,16h30-21h30,45-60k,
277,Hủ tiếu Mì Thập Cẩm (Tặng Xí quách),Hủ tiếu,Món nước,"160 Phạm Phú Thứ, P.4",Quận 6,6h-21h,43-53k,17h-21 Tặng xí quách
278,Bánh canh cua Ba Lúa (chất lượng),Bánh canh cua,Món nước,206 Tôn Đản,Quận 4,07:00 - 22:00,50k,
279,Cơm tấm Mai cua,Cơm tấm,Cơm,"185 Trần Bình Trọng, P.3",Quận 6,18h-23h30,35k-50k,
280,Bánh tráng Cuốn thịt heo Hoàng Bèo,Bánh tráng cuốn,Món cuốn,"Căn 06, Lô C, CC Phạm Viết Chánh, P. 19",Quận Bình Thạnh,07:00 - 23:00,60k-70k,
281,Bánh tráng Cuốn thịt heo Hoàng Bèo,Bánh tráng cuốn,Món cuốn,"12L, Nguyễn Thị Minh Khai, Ph. Đa Kao",Quận 1,07:00 - 23:00,60k-70k,
282,Bánh tráng Cuốn thịt heo Hoàng Bèo,Bánh tráng cuốn,Món cuốn,"216 Nguyễn Oanh, Phường 17, Gò Vấp",Quận Gò Vấp,07:00 - 23:00,60k-70k,
283,Bún đầu Tiến Vua 86k 2 người,Bún đậu,Món khô,"29 Thành Thái, P. 14,  Quận 10,",Quận 10,10:00 - 21:51,86k,
284,Lẩu Cá & Nướng BBQ A Mín,Lẩu cá,Lẩu,"333 Vĩnh Khánh, P. 8,  Quận 4",Quận 4,16:00 - 23:59,150k,
285,Kem Chiên,Kem Chiên,Tráng miệng,177 Hải Thượng Lãn Ông,Quận 5,18h-22h,,
286,Cơm Gà Xối Mỡ Su Su,Cơm gà xối mỡ,Cơm,"117/1D Cống Quỳnh, P. Nguyễn Cư Trinh,  Quận 1",Quận 1,11:00 - 21:00,50k,
287,Cơm tấm dễ thương 25k,Cơm tấm,Cơm,"641 Đoàn Văn Bơ, Phường 18, Quận 4",Quận 4,5h-9h,từ 25k,
288,"Flan, Chè, Bánh bèo, Bột lọc Hoài Thương",Ăn vặt,Ăn vặt,10 Cô Giang,Quận Phú Nhuận,10:00 - 20:00,từ 20k,
289,Lẩu bò kho Xương ống,Lẩu bò,Lẩu,"207/6 Trần Bình Trọng, ",Quận 5,16h30-22h,160k,
290,Xôi mặn Heo Quay,Xôi mặn,Bánh mì,509 CMT8,Quận 10,16h-23h,25-35k,
291,Tất Ký Mì Gia,Mì thập cẩm,Món nước,499/4A CMT8,Quận 10,7h-11h (T3-CN) ; 16h-23h (t2-CN),,
292,Bánh tráng trộn mỡ hành,Bánh tráng trộn,Ăn vặt,"1005/71 Nguyễn Kiệm, P3",Quận Gò Vấp,14h-22h,,
293,"Chuỗi ăn vặt, bánh tráng, trà sữa",Ăn vặt,Ăn vặt,152/12 Vĩnh Viễn,Quận 10,16h-22h,Sinh viên,
294,Phá Lấu Giò Heo Kha Thi,Phá lấu,Món khô,211 Phạm Văn Chiêu,Quận Gò Vấp,9h-20h,,
295,Cơm tấm Xí Muội - Nem nướng buôn mê,Cơm tấm,Cơm,"1090 Lạc Long Quân, P.8, Tân Bình",Quận Tân Bình,"Cơm tấm: 7h - 19h (T2-T7) ; 7h - 15h (Chủ Nhật)
Nem nướng: 16h - 21h",35-50k,
296,Lẩu bò Campuchia,Lẩu bò,Lẩu,"128 Vườn Chuối, p.4",Quận 3,16h-22h,170k,
297,Nướng Lẩu Zaka 79,Nướng lẩu,Lẩu,"16 Trường Chính, P.4",Quận Tân Bình,15h-23h,79k-150k,
298,Bún Riêu Cua 30 Năm,Bún riêu,Món nước,"384/22 Nam Kỳ Khởi Nghĩa, Phường 8",Quận 3,9h tới 13h,30k,
299,Hủ tiếu Ngã tư Nơ Trang Long - Nguyễn Xí,Hủ tiếu,Món nước,,Quận Bình Thạnh,,30k,
300,Gòn BÚN CHẢ bà Khách,Bún chả,Món nước,3 Hậu Giang,Quận Tân Bình,8h-22h,45k,
301,Gòn BÚN CHẢ bà Khách,Bún chả,Món nước,Lê Văn Duyệt,Quận Tân Bình,8h-22h,45k,
302,Bánh mì Tăng,Bánh mì,Bánh mì,"822 Nguyễn Trãi, quận 5",Quận 5,5h30-23h30,20k,
303,Aroy Thái,Mì - Hủ tiếu thái,Món nước,"60/1 Lý Chính Thắng, Quận 3",Quận 3,7h-21h,45-65k,
304,Aroy Thái,Mì - Hủ tiếu thái,Món nước,86 Hoa Cúc,Quận Phú Nhuận,7h-21h,45-65k,
305,"Cơm Tấm Ba Há, Đồ ăn khổng lồ",Cơm tấm,Cơm,"389 Hưng Phú, P. 9, Q. 8",Quận 8,16-19h30,8-90k,
306,"Bánh Mì Xíu Mại Phô Mai Trứng Muối, Bò Nướng, Nem",Bánh mì,Bánh mì,"356 Bùi Hữu Nghĩa, P. 14",Quận Bình Thạnh,"06H00 - 10H00 , 16H00 - 21H00",20-25k,
307,Bánh Canh Cua Oanh,Bánh canh,Món nước,"80 Văn Cao, P. Phú Thọ Hòa",Quận Tân Phú,09:00 - 22:00,45-55k,
308,Bún thịt nướng Bà Năm,Bún thịt nướng,Món khô,"108/20B Trần Quang Diệu, P. 14",Quận 3,06:00 - 12:00,35k,
309,Mì Khô Xá Xíu Gia Phúc,Hủ tiếu mì,Món nước,"198B Xóm Chiếu, P. 14",Quận 4,16:00 - 22:30,35k,
310,Lẩu bò kho Campuchia,Lẩu bò kho,Lẩu,"128 Vườn Chuối, P. 4",Quận 3,15:00 - 23:00,170k,
311,Bach Hoa Lẩu,,Sang choảnh - Không gian xinh,,,,,
312,Quán mì hủ tiếu Đài Loan (Bún bò viên Tân Phát),Hủ tiếu mì,Món nước,"404 Trần Phú, P.7",Quận 5,09:00 - 21:00,40-55k,
313,Chill Thái,Buffet lẩu,Sang choảnh - Không gian xinh,Nhiều chi nhánh,Quận 1,,159-239k,
314,Sủi cảo Liên Xô,Hủ tiếu mì,Món nước,"104 Mạc Vân, p.12, Q.8",Quận 8,11h đến hết,30-45k,
315,Hủ Tiếu Cá Tài Ký,Hủ tiếu cá,Món nước,"185A Tân Sơn Nhì, P. Tân Sơn Nhì,  Quận Tân Phú, TP. HCM",Quận Tân Phú,06:00 - 12:00,40-55k,
316,Miì trộn khô Hồng kong,Mì trộn khô,Món khô,"684/24 Trần Hưng Đạo, P2, Q5",Quận 5,,từ 55k,
317,Bún riêu,Bún riêu,Món nước,1348 Trường Sa Tân Bình,Quận Tân Bình,Đóng cửa lúc 18h,từ 28k,
318,Cơm tấm,Cơm tấm,Cơm,641 Đoàn Văn Bơ,Quận 4,5:00 - 9:00,25k,
319,Bánh Flan Hoài Thương,Ăn vặt,Ăn vặt,10 Cô Giang,Quận Phú Nhuận,10:00 - 22:00,10k-30k,
320,Bánh ướt Dì Năm,Ăn vặt,Ăn vặt,1 Khánh Hội,Quận 4,6:00 _ 10:00,30k,
321,Lẩu mắm Út Nhàn,Lẩu,Lẩu,"409 Phạm Văn Đồng, phường 11",Quận Bình Thạnh,15:00 - 22:00,295k,
322,Quán Ù Pa,Ăn vặt,Ăn vặt,"9A Nguyễn Án, P. 11",Quận 5,14:00 - 22:00,5k-19k,
323,Bún bò Cô Hạnh,Bún bò,Món nước,"190-192 Hà Tôn Quyền, Phường 6",Quận 11,06:30 - 11:00,25k-30k,
324,Ramen Tomidaya,Mì ramen,Món nước,"68 Phạm Viết Chánh, phường 19",Quận Bình Thạnh,11:30-14h   17h-21h,50k-220k,nghỉ t5 hàng tuần
325,Hủ Tiếu Gà - Vĩnh Nam,Hủ tiếu,Món nước,"43 Vĩnh Nam, P. 11",Quận 8,13:00 - 21:00,5k-40k,
326,Ốc Táo,Ốc,Nhậu nhẹt,"80 Đường Số 28, P. Tân Phong",Quận 7,00:01-02:00 | 16:00-23:59,50k-200k,
327,Sủi cảo Huy Ngân,Sủi cảo,Món nước,"538 Lý Thái Tổ, P. 10",Quận 10,10:00 - 22:00,35k-50k,
328,Trà sữa A Chà,Trà sữa,Ăn vặt,"140 Châu Văn Liêm, P. 11",Quận 5,10:00 - 22:00,15k-30k,
329,Bò né 2 Péo,Cơm tấm,Cơm,"69/2/44 Nguyễn Gia Trí, P. 25",Quận Bình Thạnh,10:00 - 14:00,10k-55k,
330,Chè Thạch Xanh,Chè,Ăn vặt,"91 Lý Thường Kiệt, P.7",Quận 10,18:00 - 21:00,14k,
331,Hồng trà dì Anh,Hồng Trà,Ăn vặt,70 Đường số 5 - Cư xá Bình Thới phường 8,Quận 11,9h15h - 23h30,16k-25k,
332,Tiềm Ngã Ba Đường,Ăn vặt,Ăn vặt,"Y12 Hồng Lĩnh, P. 15",Quận 10,13:00 - 22:00,30k,
333,Gà nướng cô gái Ấn,Gà nướng,Nhậu nhẹt,"45A Ung Văn Khiêm, P. 25",Quận Bình Thạnh,15:30 - 23:59,5k-130k,
334,Khanh - Bánh Khọt Vũng Tàu,Bánh khọt,Món khô,"7 Đồng Nai, P. 15",Quận 10,10:00 - 21:00,15k-50k,
335,Cơm Cu Hải,Cơm bò,Cơm,"189B/A30 Cống Quỳnh, P. Nguyễn Cư Trinh",Quận 1,00:01-02:00 | 16:30-23:59,70k-90k,
336,O Hè,Bún bò huế,Món nước,"315/30 Lê Văn Sỹ, P. 13",Quận 3,06:30 - 12:30,45k-50k,
337,Tiệm mì Chọn Tui,Mì,Món nước,"292 Tô Hiến Thành, P. 15",Quận 10,07:30 - 21:15,15k-45k,
338,Bánh mì Bùi Thị Xuân,Bánh mì và sữa bắp,Món khô,"122E Bùi Thị Xuân, P. Phạm Ngũ Lão",Quận 1,05:30 - 01:00,20k-30k,
339,Shabu Ya - Vạn Hạnh Mall, Lẩu Nhật,Lẩu,"Tầng 6,  19 Tầng 6 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12",Quận 10,10:00 - 21:30,138k-238k,
340,Má heo Ngọc Yến,Má heo,Nhậu nhẹt,"51 đường số 10, Phường Linh Trung",Thủ Đức,8:00 - 00:00,60k-120k,
341,Bánh Canh Trảng Bàng,Bánh canh,Món nước,"439-441 Nguyễn Tri Phương, P. 8",Quận 10,10:00 - 22:00,30-60k,
342,Bún bò cô Đào,Bún bò,Món nước,"22A Điện Biên Phủ, Phường 15",Quận Bình Thạnh,06:00-10:30,43k,
343,Đồi Thái,Lẩu thái,Lẩu,36 Chu Mạnh Trinh P. Bến Nghé,Quận 1,09:00 - 22:00,149k,
344,Bánh Tráng Trộn Nhà Thờ Cha Tam,Bánh tráng trộn,Ăn vặt,"25 Học Lạc, Phường 14 (Trước Cửa Nhà Thờ)",Quận 5,21:30 - 2:00,18-36k,
345,Chú Mập Thanh Đa,Trà sữa ,Ăn vặt,"183 Bình Quới, P. 28",Quận Bình Thạnh,11:00 - 19:00,15-25k,
346,Trà Chanh Con Cá,Trà chanh,Quán nước,"321 Tôn Đản, P. 15",Quận 4,09:30 - 21:30,5-33k,
